timestamp,station_id,temperature,pressure,humidity,anomaly_type,is_anomaly,confidence_score,predicted_anomaly,predicted_root_cause,mv_score,temporal_z,spatial_z,dew_point,physics_violation,temperature_expected,pressure_expected,humidity_expected,temperature_corrected,pressure_corrected,humidity_corrected
2025-01-01 00:00:00,AWS_001,16.632804335375805,1004.09651192579,95.26326571410073,none,0,0.315,1,sensor_stuck_fault,0.184,1.25,0.72,15.87,False,19.32,1005.08,95.62,17.42,1004.1,97.61
2025-01-01 01:00:00,AWS_001,17.416172843570227,1003.9787677800972,100.0,none,0,0.348,1,sensor_stuck_fault,0.208,0.87,2.27,17.42,False,19.5,1004.45,96.32,17.81,1004.18,98.17
2025-01-01 02:00:00,AWS_001,18.21201854380532,1004.2584297381072,97.61296543066364,none,0,0.306,1,sensor_stuck_fault,0.114,0.83,1.77,17.83,False,20.18,1004.93,96.0,18.21,1004.26,97.61
2025-01-01 03:00:00,AWS_001,19.07078454033116,1004.4220838793076,98.7228703457654,none,0,0.119,0,normal,0.145,0.83,1.9,18.86,False,21.06,1005.22,95.22,19.07078454033116,1004.4220838793076,98.7228703457654
2025-01-01 04:00:00,AWS_001,19.711291716107343,1004.267065129124,95.05987847808086,none,0,0.136,0,normal,0.112,1.05,2.72,18.9,False,22.03,1005.72,93.89,19.711291716107343,1004.267065129124,95.05987847808086
2025-01-01 05:00:00,AWS_001,21.971345543558307,1004.8182854907396,97.60110280201155,none,0,0.108,0,normal,0.102,0.62,2.26,21.57,False,23.6,1005.75,93.12,21.971345543558307,1004.8182854907396,97.60110280201155
2025-01-01 06:00:00,AWS_001,23.37645275958708,1004.8694220500552,92.09828023758546,none,0,0.075,0,normal,0.071,0.65,1.28,22.02,False,24.99,1006.29,91.53,23.37645275958708,1004.8694220500552,92.09828023758546
2025-01-01 07:00:00,AWS_001,24.930790868083196,1004.8983483876492,91.20546078534204,none,0,0.132,0,normal,0.11,0.69,3.05,23.4,False,26.38,1006.51,90.91,24.930790868083196,1004.8983483876492,91.20546078534204
2025-01-01 08:00:00,AWS_001,26.393931548645863,1005.677423749437,93.25261504364424,none,0,0.089,0,normal,0.058,0.6,2.07,25.21,False,28.09,1006.92,89.17,26.393931548645863,1005.677423749437,93.25261504364424
2025-01-01 09:00:00,AWS_001,27.78030795445894,1005.349282264333,91.64792236937296,none,0,0.086,0,normal,0.095,0.49,1.65,26.29,False,29.33,1006.8,89.12,27.78030795445894,1005.349282264333,91.64792236937296
2025-01-01 10:00:00,AWS_001,29.1892941896466,1006.4935968730751,81.93520521689162,none,0,0.277,1,localized_sensor_fault,0.382,0.36,25.02,25.78,False,30.31,1007.42,87.73,28.21,1005.89,90.39
2025-01-01 11:00:00,AWS_001,28.646937526179844,1006.3920891932216,83.3962960558638,none,0,0.124,0,normal,0.256,0.92,0.67,25.55,False,31.25,1007.3,87.43,28.646937526179844,1006.3920891932216,83.3962960558638
2025-01-01 12:00:00,AWS_001,29.114893871878817,1006.0926928655848,89.57000897006073,none,0,0.065,0,normal,0.079,0.74,0.67,27.22,False,31.6,1007.17,87.45,29.114893871878817,1006.0926928655848,89.57000897006073
2025-01-01 13:00:00,AWS_001,29.593290382666385,1006.3500884006712,90.44444338949994,none,0,0.099,0,normal,0.088,0.6,2.13,27.86,False,31.37,1007.85,86.89,29.593290382666385,1006.3500884006712,90.44444338949994
2025-01-01 14:00:00,AWS_001,27.757036753640783,1005.94937184133,94.4285602183772,none,0,0.119,0,normal,0.127,0.89,2.03,26.78,False,30.91,1007.1,88.13,27.757036753640783,1005.94937184133,94.4285602183772
2025-01-01 15:00:00,AWS_001,27.46898404979727,1005.9165503453096,90.04424949071092,none,0,0.063,0,normal,0.062,0.74,0.77,25.69,False,29.86,1006.51,88.23,27.46898404979727,1005.9165503453096,90.04424949071092
2025-01-01 16:00:00,AWS_001,25.82050635854769,1005.3046045033432,87.24123785570434,none,0,0.113,0,normal,0.152,1.13,1.18,23.54,False,28.5,1006.79,88.85,25.82050635854769,1005.3046045033432,87.24123785570434
2025-01-01 17:00:00,AWS_001,24.64118143351075,1005.6290786439656,90.16238555863482,none,0,0.057,0,normal,0.05,0.77,0.67,22.92,False,27.25,1006.54,89.8,24.64118143351075,1005.6290786439656,90.16238555863482
2025-01-01 18:00:00,AWS_001,23.28614219934919,1004.6574788375732,94.06787618592764,none,0,0.087,0,normal,0.077,1.13,1.06,22.28,False,25.79,1006.16,90.62,23.28614219934919,1004.6574788375732,94.06787618592764
2025-01-01 19:00:00,AWS_001,20.770933650014967,1004.4520834539449,95.39089605367992,none,0,0.077,0,normal,0.093,0.96,0.67,20.01,False,24.23,1005.84,92.97,20.770933650014967,1004.4520834539449,95.39089605367992
2025-01-01 20:00:00,AWS_001,19.69934733406951,1005.2329878551944,97.04488586517397,none,0,0.126,0,normal,0.065,0.77,3.23,19.22,False,22.87,1005.1,94.84,19.69934733406951,1005.2329878551944,97.04488586517397
2025-01-01 21:00:00,AWS_001,18.291562255377315,1004.3863811367546,100.0,none,0,0.15,0,normal,0.18,0.95,2.6,18.29,False,21.39,1005.14,94.01,18.291562255377315,1004.3863811367546,100.0
2025-01-01 22:00:00,AWS_001,17.807856051676914,1003.7372266529364,91.3681474187489,none,0,0.192,0,normal,0.313,0.83,2.84,16.38,False,20.51,1004.98,95.89,17.807856051676914,1003.7372266529364,91.3681474187489
2025-01-01 23:00:00,AWS_001,17.025410760286025,1004.089997043336,100.0,none,0,0.102,0,normal,0.183,0.91,0.67,17.03,False,19.69,1005.1,95.25,17.025410760286025,1004.089997043336,100.0
2025-01-02 00:00:00,AWS_001,17.70260731012168,1003.4260489764912,100.0,none,0,0.183,0,normal,0.301,0.96,2.44,17.7,False,19.32,1005.08,95.62,17.70260731012168,1003.4260489764912,100.0
2025-01-02 01:00:00,AWS_001,17.05980443991572,1003.8174692662268,96.92841284476836,none,0,0.117,0,normal,0.185,1.02,1.1,16.57,False,19.5,1004.45,96.32,17.05980443991572,1003.8174692662268,96.92841284476836
2025-01-02 02:00:00,AWS_001,18.586014978564453,1003.7071678267092,98.84833595315206,none,0,0.158,0,normal,0.233,0.67,2.63,18.4,False,20.18,1004.93,96.0,18.586014978564453,1003.7071678267092,98.84833595315206
2025-01-02 03:00:00,AWS_001,18.691621404641484,1003.9615758049348,97.9644642863463,none,0,0.234,1,localized_sensor_fault,0.172,0.98,37.49,18.36,False,21.06,1005.22,95.22,18.64,1003.89,97.45
2025-01-02 04:00:00,AWS_001,20.20539631004495,1004.409527376414,94.3026632904568,none,0,0.104,0,normal,0.098,0.82,1.88,19.26,False,22.03,1005.72,93.89,20.20539631004495,1004.409527376414,94.3026632904568
2025-01-02 05:00:00,AWS_001,21.55992761657331,1004.8734830790154,89.7889855867134,none,0,0.091,0,normal,0.16,0.78,0.67,19.81,False,23.6,1005.75,93.12,21.55992761657331,1004.8734830790154,89.7889855867134
2025-01-02 06:00:00,AWS_001,23.101589011625208,1005.3232240034235,92.89877534370802,none,0,0.049,0,normal,0.021,0.76,0.67,21.89,False,24.99,1006.29,91.53,23.101589011625208,1005.3232240034235,92.89877534370802
2025-01-02 07:00:00,AWS_001,24.19910320048116,1005.260265957817,96.28291521753648,none,0,0.055,0,normal,0.096,0.78,0.0,23.57,False,26.38,1006.51,90.91,24.19910320048116,1005.260265957817,96.28291521753648
2025-01-02 08:00:00,AWS_001,26.231026343888445,1005.0942303893092,93.817732093902,none,0,0.104,0,normal,0.082,0.77,2.15,25.15,False,28.09,1006.92,89.17,26.231026343888445,1005.0942303893092,93.817732093902
2025-01-02 09:00:00,AWS_001,27.49342205244225,1005.9456458525428,91.70917283726985,none,0,0.07,0,normal,0.054,0.58,1.36,26.02,False,29.33,1006.8,89.12,27.49342205244225,1005.9456458525428,91.70917283726985
2025-01-02 10:00:00,AWS_001,28.38859753793732,1006.0927199472392,85.21327633395256,none,0,0.162,0,normal,0.193,0.62,3.34,25.66,False,30.31,1007.42,87.73,28.38859753793732,1006.0927199472392,85.21327633395256
2025-01-02 11:00:00,AWS_001,29.14151927238758,1006.569794342798,91.7575330324684,none,0,0.086,0,normal,0.054,0.75,1.78,27.66,False,31.25,1007.3,87.43,29.14151927238758,1006.569794342798,91.7575330324684
2025-01-02 12:00:00,AWS_001,28.76979273306337,1006.3235942825085,87.4379684977818,none,0,0.073,0,normal,0.075,0.84,0.89,26.47,False,31.6,1007.17,87.45,28.76979273306337,1006.3235942825085,87.4379684977818
2025-01-02 13:00:00,AWS_001,28.774108105397584,1006.7606036499856,87.26263994459875,none,0,0.074,0,normal,0.064,0.87,1.04,26.44,False,31.37,1007.85,86.89,28.774108105397584,1006.7606036499856,87.26263994459875
2025-01-02 14:00:00,AWS_001,28.029208620297467,1006.3831807426434,88.23160883027067,none,0,0.057,0,normal,0.042,0.82,0.67,25.9,False,30.91,1007.1,88.13,28.029208620297467,1006.3831807426434,88.23160883027067
2025-01-02 15:00:00,AWS_001,26.65875285741272,1005.805440251582,92.4464565868954,none,0,0.059,0,normal,0.032,0.99,0.67,25.33,False,29.86,1006.51,88.23,26.65875285741272,1005.805440251582,92.4464565868954
2025-01-02 16:00:00,AWS_001,26.24489642100557,1005.7659103196402,86.49996576958519,none,0,0.095,0,normal,0.148,0.78,0.98,23.81,False,28.5,1006.79,88.85,26.24489642100557,1005.7659103196402,86.49996576958519
2025-01-02 17:00:00,AWS_001,24.396704809403804,1005.334972163168,91.1437926367756,none,0,0.108,0,normal,0.045,0.88,2.59,22.86,False,27.25,1006.54,89.8,24.396704809403804,1005.334972163168,91.1437926367756
2025-01-02 18:00:00,AWS_001,23.06700458801929,1005.6015186634686,93.01011180620912,none,0,0.084,0,normal,0.01,0.77,2.21,21.87,False,25.79,1006.16,90.62,23.06700458801929,1005.6015186634686,93.01011180620912
2025-01-02 19:00:00,AWS_001,22.445194961158712,1004.4071811108234,93.70417088246094,none,0,0.11,0,normal,0.112,0.99,1.76,21.38,False,24.23,1005.84,92.97,22.445194961158712,1004.4071811108234,93.70417088246094
2025-01-02 20:00:00,AWS_001,20.19043818503245,1004.364304318414,96.84560619568587,none,0,0.206,1,localized_sensor_fault,0.113,0.65,21.13,19.67,False,22.87,1005.1,94.84,21.32,1004.39,93.12
2025-01-02 21:00:00,AWS_001,18.898754094280388,1004.368506464585,93.23761855208936,none,0,0.142,0,normal,0.136,0.76,3.03,17.78,False,21.39,1005.14,94.01,18.898754094280388,1004.368506464585,93.23761855208936
2025-01-02 22:00:00,AWS_001,18.331971330377623,1003.6532559618296,92.70776840324991,none,0,0.251,1,localized_sensor_fault,0.263,0.67,24.44,17.13,False,20.51,1004.98,95.89,18.62,1004.26,94.45
2025-01-02 23:00:00,AWS_001,17.80165163752521,1004.147481610836,96.91432892755932,none,0,0.21,1,localized_sensor_fault,0.13,0.64,2081256.63,17.3,False,19.69,1005.1,95.25,18.08,1004.18,96.02
2025-01-03 00:00:00,AWS_001,17.82394426936473,1003.3334772525608,95.18645830098882,none,0,0.163,0,normal,0.269,1.01,1.94,17.04,False,19.32,1005.08,95.62,17.82394426936473,1003.3334772525608,95.18645830098882
2025-01-03 01:00:00,AWS_001,17.094763374847574,1004.2137055125928,98.34105416353182,none,0,0.09,0,normal,0.153,1.0,0.42,16.83,False,19.5,1004.45,96.32,17.094763374847574,1004.2137055125928,98.34105416353182
2025-01-03 02:00:00,AWS_001,18.6212607780241,1004.0912723935264,99.34143317127328,none,0,0.097,0,normal,0.193,0.66,0.67,18.52,False,20.18,1004.93,96.0,18.6212607780241,1004.0912723935264,99.34143317127328
2025-01-03 03:00:00,AWS_001,18.80398529029729,1004.1156786165452,95.52253107717928,none,0,0.205,1,localized_sensor_fault,0.124,0.94,5.47,18.07,False,21.06,1005.22,95.22,18.71,1004.16,96.93
2025-01-03 04:00:00,AWS_001,19.63601082277156,1004.4114196595348,99.4054531140645,none,0,0.111,0,normal,0.193,1.08,0.67,19.54,False,22.03,1005.72,93.89,19.63601082277156,1004.4114196595348,99.4054531140645
2025-01-03 05:00:00,AWS_001,21.17496575662169,1004.3459258084374,90.8697182789626,none,0,0.145,0,normal,0.202,0.92,2.14,19.62,False,23.6,1005.75,93.12,21.17496575662169,1004.3459258084374,90.8697182789626
2025-01-03 06:00:00,AWS_001,23.54271288923516,1005.2885713646932,94.67313488832062,none,0,0.048,0,normal,0.033,0.58,0.73,22.64,False,24.99,1006.29,91.53,23.54271288923516,1005.2885713646932,94.67313488832062
2025-01-03 07:00:00,AWS_001,24.957645188585158,1005.5678680976192,92.49076253703429,none,0,0.044,0,normal,0.033,0.51,0.67,23.65,False,26.38,1006.51,90.91,24.957645188585158,1005.5678680976192,92.49076253703429
2025-01-03 08:00:00,AWS_001,26.612866556970687,1005.2719801817728,91.28930073775594,none,0,0.087,0,normal,0.072,0.69,1.69,25.07,False,28.09,1006.92,89.17,26.612866556970687,1005.2719801817728,91.28930073775594
2025-01-03 09:00:00,AWS_001,26.973913214762486,1005.9796496307038,89.64689768828032,none,0,0.072,0,normal,0.049,0.75,1.3,25.13,False,29.33,1006.8,89.12,26.973913214762486,1005.9796496307038,89.64689768828032
2025-01-03 10:00:00,AWS_001,28.16038661932994,1006.0311809163534,84.31385185982238,none,0,0.114,0,normal,0.246,0.7,0.67,25.26,False,30.31,1007.42,87.73,28.16038661932994,1006.0311809163534,84.31385185982238
2025-01-03 11:00:00,AWS_001,28.41676872506736,1006.1744050492714,85.59171190181696,none,0,0.092,0,normal,0.171,1.0,0.28,25.77,False,31.25,1007.3,87.43,28.41676872506736,1006.1744050492714,85.59171190181696
2025-01-03 12:00:00,AWS_001,28.31021932310546,1005.840743167558,86.51897897522879,none,0,0.152,0,normal,0.146,0.97,3.04,25.84,False,31.6,1007.17,87.45,28.31021932310546,1005.840743167558,86.51897897522879
2025-01-03 13:00:00,AWS_001,28.88893876145671,1006.7169288592848,87.6356303317322,none,0,0.117,0,normal,0.059,0.83,2.87,26.63,False,31.37,1007.85,86.89,28.88893876145671,1006.7169288592848,87.6356303317322
2025-01-03 14:00:00,AWS_001,28.92999761158316,1006.3808245168976,87.50301094375735,none,0,0.114,0,normal,0.072,0.56,2.94,26.64,False,30.91,1007.1,88.13,28.92999761158316,1006.3808245168976,87.50301094375735
2025-01-03 15:00:00,AWS_001,27.788403591129487,1005.70849065709,92.31675303831416,none,0,0.063,0,normal,0.083,0.64,0.67,26.43,False,29.86,1006.51,88.23,27.788403591129487,1005.70849065709,92.31675303831416
2025-01-03 16:00:00,AWS_001,25.790217229447364,1005.6410880152976,87.28269528539178,none,0,0.122,0,normal,0.133,0.88,2.14,23.51,False,28.5,1006.79,88.85,25.790217229447364,1005.6410880152976,87.28269528539178
2025-01-03 17:00:00,AWS_001,25.121159376203384,1005.9072490616538,91.61106152124998,none,0,0.082,0,normal,0.022,0.62,2.19,23.66,False,27.25,1006.54,89.8,25.121159376203384,1005.9072490616538,91.61106152124998
2025-01-03 18:00:00,AWS_001,22.870714319247373,1005.0279459303488,90.57881373366102,none,0,0.086,0,normal,0.092,0.85,1.22,21.25,False,25.79,1006.16,90.62,22.870714319247373,1005.0279459303488,90.57881373366102
2025-01-03 19:00:00,AWS_001,21.67352706374487,1004.6798054116256,92.00960422019745,none,0,0.087,0,normal,0.093,0.8,1.3,20.32,False,24.23,1005.84,92.97,21.67352706374487,1004.6798054116256,92.00960422019745
2025-01-03 20:00:00,AWS_001,20.43256584698177,1004.5705343939228,93.61124003403228,none,0,0.085,0,normal,0.073,0.59,1.75,19.37,False,22.87,1005.1,94.84,20.43256584698177,1004.5705343939228,93.61124003403228
2025-01-03 21:00:00,AWS_001,18.69627136516048,1004.3919983056016,97.68319833382472,none,0,0.21,1,localized_sensor_fault,0.107,0.82,6.7,18.32,False,21.39,1005.14,94.01,19.56,1004.48,93.55
2025-01-03 22:00:00,AWS_001,17.55211760852235,1003.9591680363568,93.49293270195002,none,0,0.111,0,normal,0.213,0.9,0.67,16.49,False,20.51,1004.98,95.89,17.55211760852235,1003.9591680363568,93.49293270195002
2025-01-03 23:00:00,AWS_001,17.566596376848633,1003.891540346758,96.2242372945679,none,0,0.094,0,normal,0.167,0.72,0.8,16.96,False,19.69,1005.1,95.25,17.566596376848633,1003.891540346758,96.2242372945679
2025-01-04 00:00:00,AWS_001,17.031608881582113,1004.1340772962944,96.50075518126268,none,0,0.129,0,normal,0.145,1.07,1.99,16.47,False,19.32,1005.08,95.62,17.031608881582113,1004.1340772962944,96.50075518126268
2025-01-04 01:00:00,AWS_001,17.08638721925101,1003.7167869132726,95.97169970661528,none,0,0.112,0,normal,0.206,1.01,0.67,16.44,False,19.5,1004.45,96.32,17.08638721925101,1003.7167869132726,95.97169970661528
2025-01-04 02:00:00,AWS_001,18.160431509782992,1003.7943934317271,91.71548144117598,none,0,0.235,1,localized_sensor_fault,0.27,0.85,5.01,16.79,False,20.18,1004.93,96.0,17.86,1003.85,96.1
2025-01-04 03:00:00,AWS_001,18.774428082803254,1004.172910450798,97.72493780022344,none,0,0.085,0,normal,0.124,0.95,0.64,18.41,False,21.06,1005.22,95.22,18.774428082803254,1004.172910450798,97.72493780022344
2025-01-04 04:00:00,AWS_001,20.25639747734673,1003.8056380929778,93.5798955059254,none,0,0.108,0,normal,0.17,0.92,1.04,19.19,False,22.03,1005.72,93.89,20.25639747734673,1003.8056380929778,93.5798955059254
2025-01-04 05:00:00,AWS_001,21.1642900217328,1004.3709663706866,91.0920388458004,none,0,0.147,0,normal,0.189,0.93,2.37,19.65,False,23.6,1005.75,93.12,21.1642900217328,1004.3709663706866,91.0920388458004
2025-01-04 06:00:00,AWS_001,23.393257978067453,1005.118805597973,87.85465096896974,none,0,0.104,0,normal,0.184,0.64,1.11,21.26,False,24.99,1006.29,91.53,23.393257978067453,1005.118805597973,87.85465096896974
2025-01-04 07:00:00,AWS_001,24.27809702786176,1005.057072439041,94.37802681651488,none,0,0.066,0,normal,0.073,0.76,0.77,23.32,False,26.38,1006.51,90.91,24.27809702786176,1005.057072439041,94.37802681651488
2025-01-04 08:00:00,AWS_001,25.949792482432,1005.683841038474,87.44008866628813,none,0,0.096,0,normal,0.125,0.76,1.32,23.7,False,28.09,1006.92,89.17,25.949792482432,1005.683841038474,87.44008866628813
2025-01-04 09:00:00,AWS_001,26.5982453351271,1005.7510783812028,89.10302314483685,none,0,0.065,0,normal,0.062,0.87,0.67,24.65,False,29.33,1006.8,89.12,26.5982453351271,1005.7510783812028,89.10302314483685
2025-01-04 10:00:00,AWS_001,28.76421401345852,1006.0259350321304,88.71705461232949,none,0,0.073,0,normal,0.077,0.55,1.27,26.71,False,30.31,1007.42,87.73,28.76421401345852,1006.0259350321304,88.71705461232949
2025-01-04 11:00:00,AWS_001,28.937689571077883,1005.6844434663956,88.09124829771194,none,0,0.121,0,normal,0.133,1.32,1.47,26.76,False,31.25,1007.3,87.43,28.937689571077883,1005.6844434663956,88.09124829771194
2025-01-04 12:00:00,AWS_001,29.290004588924543,1005.7105928366768,89.2582091940472,none,0,0.153,0,normal,0.124,0.74,3.65,27.34,False,31.6,1007.17,87.45,29.290004588924543,1005.7105928366768,89.2582091940472
2025-01-04 13:00:00,AWS_001,28.21965201618189,1005.6512156533284,85.57949430263233,none,0,0.177,0,normal,0.229,1.06,2.93,25.57,False,31.37,1007.85,86.89,28.21965201618189,1005.6512156533284,85.57949430263233
